717KO, 0, 6, Germania, 01-01-2025, 1
717KO, 4, -4, Germania, 01-01-2025, 2
531HJ, 0, 18, Germania, 08-01-2025, 3
531HJ, 17, -17, Germania, 08-01-2025, 4
967XQ, 0, 12, Francia, 10-01-2025, 5
967XQ, 3, -3, Francia, 10-01-2025, 6
232TO, 0, 13, Francia, 10-01-2025, 7
232TO, 12, -12, Francia, 10-01-2025, 8
301FN, 0, 13, Italia, 16-01-2025, 9
301FN, 10, -10, Italia, 16-01-2025, 10
427GL, 0, 114, Spagna, 16-01-2025, 11
427GL, 6, -6, Spagna, 16-01-2025, 12
164IS, 0, 17, Italia, 17-01-2025, 13
385YO, 0, 6, Italia, 17-01-2025, 14
385YO, 4, -4, Italia, 17-01-2025, 15
264TZ, 0, 13, Spagna, 25-01-2025, 16
264TZ, 11, -11, Spagna, 25-01-2025, 17
734NX, 0, 18, Italia, 25-01-2025, 18
734NX, 2, -2, Italia, 25-01-2025, 19
564SU, 0, 10, Germania, 25-01-2025, 20
564SU, 9, -9, Germania, 25-01-2025, 21
416BD, 0, 11, Francia, 27-01-2025, 22
416BD, 8, -8, Francia, 27-01-2025, 23
374VS, 0, 7, Francia, 27-01-2025, 24
374VS, 1, -1, Francia, 27-01-2025, 25
267OJ, 0, 16, Italia, 29-01-2025, 26
267OJ, 4, -4, Italia, 29-01-2025, 27
656KF, 0, 20, Italia, 29-01-2025, 28
656KF, 2, -2, Italia, 29-01-2025, 29
830AJ, 0, 13, Spagna, 31-01-2025, 30
830AJ, 4, -4, Spagna, 31-01-2025, 31
469WX, 0, 8, Spagna, 05-02-2025, 32
469WX, 2, -2, Spagna, 05-02-2025, 33
232TO, 0, 11, Germania, 05-02-2025, 34
232TO, 2, -2, Germania, 05-02-2025, 35
505KA, 0, 9, Spagna, 05-02-2025, 36
505KA, 5, -5, Spagna, 05-02-2025, 37
108BQ, 0, 9, Spagna, 05-02-2025, 38
108BQ, 4, -4, Spagna, 05-02-2025, 39
610CD, 0, 18, Italia, 06-02-2025, 40
610CD, 14, -14, Italia, 06-02-2025, 41
592VX, 0, 9, Italia, 06-02-2025, 42
592VX, 4, -4, Italia, 06-02-2025, 43
516SZ, 0, 115, Francia, 06-02-2025, 44
516SZ, 1, -1, Francia, 06-02-2025, 45
717KO, 1, -1, Germania, 07-02-2025, 46
347XY, 0, 14, Germania, 08-02-2025, 47
347XY, 2, -2, Germania, 08-02-2025, 48
442ZW, 0, 15, Spagna, 08-02-2025, 49
442ZW, 9, -9, Spagna, 08-02-2025, 50
596GC, 0, 17, Germania, 09-02-2025, 51
596GC, 16, -16, Germania, 09-02-2025, 52
232TO, 0, 15, Francia, 14-02-2025, 53
232TO, 21, -21, Francia, 14-02-2025, 54
948YU, 0, 14, Italia, 21-02-2025, 55
948YU, 5, -5, Italia, 21-02-2025, 56
884PP, 0, 15, Francia, 21-02-2025, 57
884PP, 12, -12, Francia, 21-02-2025, 58
108BQ, 0, 19, Italia, 22-02-2025, 59
416BD, 0, 12, Spagna, 24-02-2025, 60
416BD, 4, -4, Spagna, 24-02-2025, 61
506QG, 0, 13, Germania, 26-02-2025, 62
506QG, 7, -7, Germania, 26-02-2025, 63
830AJ, 7, -7, Spagna, 03-03-2025, 64
130MA, 0, 15, Germania, 03-03-2025, 65
130MA, 10, -10, Germania, 03-03-2025, 66
919EC, 0, 19, Spagna, 03-03-2025, 67
108BQ, 15, -15, Germania, 03-03-2025, 68
164IS, 0, 17, Germania, 04-03-2025, 69
164IS, 17, -17, Germania, 04-03-2025, 70
347XY, 0, 7, Spagna, 04-03-2025, 71
347XY, 14, -14, Spagna, 04-03-2025, 72
358LU, 0, 19, Italia, 04-03-2025, 73
358LU, 10, -10, Italia, 04-03-2025, 74
416BD, 0, 19, Italia, 04-03-2025, 75
416BD, 18, -18, Italia, 04-03-2025, 76
531HJ, 0, 13, Francia, 05-03-2025, 77
531HJ, 8, -8, Francia, 05-03-2025, 78
934VZ, 0, 5, Italia, 05-03-2025, 79
934VZ, 2, -2, Italia, 05-03-2025, 80
287ZO, 0, 7, Francia, 13-03-2025, 81
287ZO, 1, -1, Francia, 13-03-2025, 82
149SH, 0, 8, Francia, 13-03-2025, 83
149SH, 7, -7, Francia, 13-03-2025, 84
298JG, 0, 14, Italia, 13-03-2025, 85
298JG, 2, -2, Italia, 13-03-2025, 86
919EC, 0, 8, Italia, 15-03-2025, 87
130MA, 0, 118, Germania, 15-03-2025, 88
130MA, 17, -17, Germania, 15-03-2025, 89
641AU, 0, 18, Germania, 19-03-2025, 90
626WN, 0, 5, Italia, 19-03-2025, 91
626WN, 3, -3, Italia, 19-03-2025, 92
333PY, 0, 14, Germania, 19-03-2025, 93
333PY, 4, -4, Germania, 19-03-2025, 94
596GC, 1, -1, Italia, 28-03-2025, 95
904ZI, 0, 15, Germania, 28-03-2025, 96
967XQ, 3, -3, Spagna, 28-03-2025, 97
149SH, 1, -1, Spagna, 30-03-2025, 98
991WP, 0, 8, Italia, 30-03-2025, 99
991WP, 5, -5, Italia, 30-03-2025, 100
469WX, 0, 20, Italia, 30-03-2025, 101
213OB, 0, 13, Italia, 03-04-2025, 102
213OB, 8, -8, Italia, 03-04-2025, 103
358LU, 5, -5, Germania, 03-04-2025, 104
592VX, 4, -4, Germania, 05-04-2025, 105
421GY, 0, 11, Francia, 05-04-2025, 106
279UR, 0, 15, Spagna, 11-04-2025, 107
298JG, 0, 11, Francia, 11-04-2025, 108
298JG, 1, -1, Francia, 11-04-2025, 109
374VS, 0, 13, Francia, 11-04-2025, 110
374VS, 12, -12, Francia, 11-04-2025, 111
527CR, 0, 120, Spagna, 15-04-2025, 112
